iter	RMSE
0	124.8986574
1	116.0855811
2	108.0394156
3	100.7074377
4	94.05966002
5	87.84310907
6	82.20608231
7	77.00562284
8	72.32659201
9	68.03914423
10	64.098659
11	60.54221211
12	57.38325397
13	54.47794152
14	51.89576412
15	49.54738556
16	47.44830787
17	45.54543453
18	43.87272414
19	42.35580599
20	41.02340206
21	39.85721579
22	38.81720879
23	37.93101619
24	37.13778536
25	36.4341455
26	35.82181751
27	35.26826951
28	34.7923757
29	34.37495742
30	33.99632306
31	33.66718228
32	33.39373611
33	33.13594971
34	32.91771461
35	32.7264006
36	32.5457747
37	32.37005621
38	32.23467083
39	32.12190377
40	32.00674889
41	31.90997287
42	31.8111972
43	31.73317742
44	31.64014202
45	31.58388658
46	31.52980888
47	31.46608256
48	31.4030426
49	31.35775341
50	31.30858322
51	31.27059366
52	31.22392624
53	31.18930347
54	31.14867386
55	31.12441803
56	31.09882493
57	31.06483213
58	31.02783685
59	31.00477093
60	30.9788306
61	30.96416938
62	30.93811055
63	30.91927111
64	30.89791937
65	30.88179129
66	30.8667478
67	30.8546629
68	30.83626959
69	30.82132228
70	30.80415863
71	30.78718088
72	30.77055272
73	30.7575626
74	30.74195031
75	30.72732715
76	30.71516492
77	30.70872063
78	30.69856173
79	30.68831723
80	30.68075007
81	30.66261689
82	30.65204839
83	30.64443082
84	30.63495688
85	30.62211979
86	30.61676206
87	30.6055128
88	30.59780418
89	30.58099909
90	30.57515005
91	30.56262322
92	30.54999931
93	30.5405762
94	30.53142391
95	30.52061806
96	30.51323388
97	30.50679458
98	30.50007516
99	30.49466338
100	30.48582203
101	30.47773323
102	30.46718758
103	30.45973519
104	30.45583472
105	30.44797028
106	30.43893604
107	30.43140285
108	30.42511128
109	30.42009754
110	30.41669124
111	30.41150641
112	30.40491621
113	30.40200114
114	30.39764567
115	30.39110685
116	30.38152567
117	30.37756341
118	30.37129815
119	30.36204189
120	30.35643822
121	30.3513918
122	30.34744499
123	30.34110365
124	30.336524
125	30.33116154
126	30.3273959
127	30.31995644
128	30.31622508
129	30.31193906
130	30.30582531
131	30.30167826
132	30.29665595
133	30.28939929
134	30.28406325
135	30.27780726
136	30.27059616
137	30.2617402
138	30.25890657
139	30.25347948
140	30.24758412
141	30.24341454
142	30.23614224
143	30.23242741
144	30.22581725
145	30.22007716
146	30.21453232
147	30.20781153
148	30.2030067
149	30.1991481
150	30.19318513
151	30.18789531
152	30.18472428
153	30.17987626
154	30.17446394
155	30.16403875
156	30.16090543
157	30.15435661
158	30.14926849
159	30.14432655
160	30.1368758
161	30.13105508
162	30.12545539
163	30.12175133
164	30.11211251
165	30.10505029
166	30.10166009
167	30.09696874
168	30.09343693
169	30.08824715
170	30.08420983
171	30.08114748
172	30.07738634
173	30.06775506
174	30.06185951
175	30.05942827
176	30.05672064
177	30.0519895
178	30.04362686
179	30.03957717
180	30.03256567
181	30.02726172
182	30.02428997
183	30.01595979
184	30.01226648
185	30.00329327
186	29.99830125
187	29.99241241
188	29.98678827
189	29.98233218
190	29.97838679
191	29.97405144
192	29.9701241
193	29.966539
194	29.96023506
195	29.95508004
196	29.95005808
197	29.94562224
198	29.94062035
199	29.93528773
200	29.92911844
201	29.9232826
202	29.91901285
203	29.91407583
204	29.91058965
205	29.90727043
206	29.90321725
207	29.89880631
208	29.89307811
209	29.89050906
210	29.88717573
211	29.88396501
212	29.88026912
213	29.8773658
214	29.87087444
215	29.86732102
216	29.86010135
217	29.8572441
218	29.85253284
219	29.84757562
220	29.84467983
221	29.83861448
222	29.83483482
223	29.83209479
224	29.82602848
225	29.82123683
226	29.81841195
227	29.81586389
228	29.81230726
229	29.80835811
230	29.80550454
231	29.8025094
232	29.79801717
233	29.79557102
234	29.79199805
235	29.78814354
236	29.78545274
237	29.78288104
238	29.77951327
239	29.77231258
240	29.76876722
241	29.76589896
242	29.76314942
243	29.759996
244	29.75002447
245	29.74578758
246	29.74065573
247	29.73696345
248	29.7340958
249	29.72882594
250	29.72573926
251	29.72348256
252	29.72053526
253	29.71145331
254	29.70817876
255	29.70388357
256	29.70102694
257	29.69626972
258	29.69336391
259	29.69042219
260	29.68306452
261	29.67772016
262	29.67497617
263	29.66608553
264	29.6606435
265	29.65825092
266	29.65314144
267	29.65066296
268	29.6410616
269	29.63758989
270	29.63308784
271	29.63107116
272	29.62706393
273	29.62482608
274	29.62158038
275	29.61954021
276	29.61595715
277	29.6132227
278	29.61097628
279	29.60800005
280	29.60417662
281	29.59704153
282	29.59290874
283	29.59091677
284	29.5865105
285	29.58373978
286	29.58025438
287	29.57640819
288	29.57383751
289	29.56948019
290	29.56663503
291	29.56432025
292	29.5617551
293	29.55735019
294	29.55201448
295	29.54740998
296	29.54314228
297	29.53942425
298	29.53612151
299	29.53368495
300	29.53027299
301	29.52250242
302	29.5185445
303	29.51628505
304	29.51434398
305	29.51232413
306	29.50904042
307	29.50525461
308	29.50138526
309	29.49356252
310	29.48993232
311	29.48726581
312	29.48473598
313	29.48086975
314	29.47812014
315	29.47264654
316	29.4670227
317	29.46446775
318	29.4623133
319	29.4562855
320	29.45076853
321	29.4482771
322	29.4454595
323	29.44271278
324	29.43568091
325	29.43351472
326	29.4307148
327	29.42671832
328	29.42416505
329	29.42030176
330	29.41572493
331	29.41146289
332	29.4082947
333	29.40332036
334	29.40147521
335	29.39793783
336	29.39078627
337	29.38859872
338	29.38651677
339	29.38370418
340	29.38069201
341	29.37764326
342	29.37450148
343	29.37196918
344	29.36801285
345	29.364483
346	29.36261951
347	29.35914219
348	29.35411962
